ord,task_id,label_str,qtd
1,007bbfb7,mapping,18
2,00d62c1b,filling,16
3,017c7c7b,replication,26
4,025d127b,filling,16
5,045e512c,replication,26
6,0520fde7,fence,15
7,05269061,full_filling,10
8,05f2a901,attraction,33
9,06df4c85,connection,9
10,08ed6ac7,filling,16
11,09629e4f,raven,24
12,0962bcdd,symmetry,14
13,0a938d79,filling,16
14,0b148d64,extraction,1
15,0ca9ddb6,filling,16
16,0d3d703e,match_color,19
17,0dfd9992,completion,8
18,0e206a2e,extension,4
19,10fcaaa3,extension,14
20,11852cab,filling,16
21,1190e5a7,counting,13
22,137eaa0f,assemble,4
23,150deff5,filling,16
24,178fcbfb,bars,6
25,1a07d186,attraction,4
26,1b2d62fb,fence,15
27,1b60fb0c,symmetry,32
28,1bfc4729,symmetry,32
29,1c786137,extraction,1
30,1caeab9d,alignment,3
31,1cf80156,extraction,1
32,1e0a9b12,attraction,4
33,1e32b0e9,completion,8
34,1f0c79e5,filling,16
35,1f642eb9,combination,7
36,1f85a75f,extraction,1
37,1f876c06,construction,9
38,1fad071e,counting,13
39,2013d3e2,symmetry,1
40,2204b7a8,contamination,12
41,22168020,filling,16
42,22233c11,alignment,3
43,2281f1f4,alignment,3
44,228f6490,attraction,33
45,22eb0ac0,connection,6
46,234bbc79,assemble,4
47,23581191,bars,6
48,239be575,unspecified,9
49,23b5c85d,extraction,1
50,253bf280,connection,9
51,25d487eb,bars,6
52,25d8a9c8,match_color,22
53,25ff71a9,translation,33
54,264363fd,reproduction,4
55,272f95fa,filling,22
56,27a28665,match_color,19
57,28bf18c6,replication,26
58,28e73c20,construction,11
59,29623171,selection,30
60,29c11459,connection,9
61,29ec7d0e,completion,8
62,2bcee788,symmetry,32
63,2bee17df,filling,16
64,2c608aff,connection,9
65,2dc579da,extraction,1
66,2dd70a9a,connection,9
67,2dee498d,selection,1
68,31aa019c,extraction,1
69,321b1fc6,contamination,27
70,32597951,contamination,12
71,3345333e,symmetry,32
72,3428a4f5,fence,15
73,3618c87e,attraction,33
74,3631a71a,completion,8
75,363442ee,reproduction,27
76,36d67576,completion,8
77,36fdfd69,contamination,12
78,3906de3d,filling,16
79,39a8645d,extraction,1
80,39e1d7f9,completion,8
81,3aa6fb7a,filling,16
82,3ac3eb23,pattern,26
83,3af2c5a8,symmetry,26
84,3bd67248,construction,11
85,3bdb4ada,removal,25
86,3befdf3e,completion,14
